relative_time,BrightnessEV
17995,-1.6793235613846622
18063,-1.657464127420923
18129,-1.625283721671773
18196,-1.5528752261437233
18264,-1.5130742180857482
18329,-1.493578042459951
18396,-1.493578042459951
18464,-1.5032931972931627
18529,-1.5328374729071779
18595,-1.5629994434174306
18662,-1.5629994434174306
18728,-1.5428215614798
18795,-1.5032931972931627
18863,-1.4743418235970336
18929,-1.455358720229461
18996,-1.455358720229461
19063,-1.455358720229461
19129,-1.445960022227211
19196,-1.455358720229461
19263,-1.493578042459951
19329,-1.5229220040420952
19396,-1.5328374729071779
19463,-1.5328374729071779
19529,-1.5229220040420952
19596,-1.5130742180857482
19663,-1.455358720229461
19729,-1.436622157647875
19796,-1.4273443440598643
19864,-1.3640184086910352
19929,-1.3290422704480602
19996,-1.3055877400850957
20062,-1.1239173868260426
20129,-1.0229023887461248
20196,-1.0033406087721344
20263,-1.0719632071970113
20328,-1.0444559401600302
20395,-0.9810533620357805
20463,-0.8516363528837363
20529,-0.696870729415475
20595,-0.6123278420548359
20662,-0.36092926811597825
20729,-0.2726696866723816
20796,-0.09275659438344357
20863,0.2427131241011606
20929,0.396294772720207
20996,0.40300847641725807
21064,0.29194208287151663
21129,0.19421762568370754
21196,-0.08947470530348015
21264,-0.6183237430892315
21329,-0.7749336312870165
21396,-1.0141513304883338
21463,-1.2280532581653039
21529,-1.279596367841515
21595,-1.3562344675022004
21663,-1.394162919338473
21728,-1.429274313941637
21795,-1.4477107774090145
21864,-1.3827788486177819
21928,-1.397512223522207
21995,-1.439694991697498
22063,-1.5135807823609277
22128,-1.5554022567097194
22195,-1.592346252586516
22262,-1.6528453006325599
22329,-1.6959382752355585
22395,-1.7068521543830864
22463,-1.7240888593083905
22529,-1.7278445390272925
22596,-1.732195894936009
22664,-1.7188753167726767
22729,-1.717953615003987
22796,-1.705074058689662
22864,-1.7042801193455794
22929,-1.6918168579850963
22996,-1.6860265778399728
23063,-1.6910809975041126
23129,-1.685434204742123
23196,-1.685434204742123
23264,-1.6742936471369225
23329,-1.6742936471369225
23396,-1.6742936471369225
23463,-1.6632384586279267
23529,-1.6632384586279267
23596,-1.6522673408069237
23664,-1.6522673408069237
23729,-1.6522673408069237
23796,-1.6413790246641877
23863,-1.6413790246641877
23929,-1.6413790246641877
23996,-1.6413790246641877
24063,-1.6413790246641877
24129,-1.6413790246641877
24196,-1.6198458631145463
24263,-1.5986293772048505
